YP,CCC
aang,aang/ang
oeng,eung/eong/ung
aai,aai/ai
aau,aau/au
aam,aam/am
aan,aan/an
aap,aap/ap
aat,aat/at
aak,aak/ak
ang,ang
eng,eng
oek,euk
ing,ing
ong,ong
eoi,ui
eon,un
eot,ut
ung,ung/ong
yun,uen/ung
yut,uet
aa,a/ah/o
ai,ai/ei
au,au
am,am/um/om
an,an/un/en
ap,ap/up/op
at,at
ak,ak/uk
ek,ek/ik
ei,ei/i
oe,oeh/eur
iu,iu
im,im
in,in
ip,ip
it,it
ik,ik
oi,oi
ou,o/u
on,on
ot,ot
ok,ok
ui,ui/ooi
un,oon/un
ut,ut/oot
uk,uk
yu,u/ue
ng,ng
e,e/eh
i,z/zi/zu/i/ee
o,oh/o
u,oo/u
m,m
