Kanji,YuetPing
白,baak
百,baak/mak
粨,baak
糪,baak/bok
絔,baak/mak
舶,baak/bok/paak
苩,baak
菔,baak/fuk
蔔,baak
薜,baak/bai/bei
蘗,baak/paak
袹,baak/mat
踣,baak/fau
迫,baak/bik
鮊,baak
𤇢,baak
𤤿,baak
兡,baak hak
瓸,baak ngaa
䇉,baak sing
竡,baak sing
㿀,baan
䃑,baan
䬳,baan/bun
䰉,baan/pun
丬,baan/gaan baan bin
坂,baan/faan
埿,baan/nai
岅,baan/faan
扮,baan/fan
扳,baan/paan
攽,baan/ban
斑,baan
斒,baan
昄,baan
朌,baan/fan
板,baan
湴,baan
爿,baan/coeng
版,baan
班,baan
瓣,baan/faan
瓪,baan
瘢,baan/pun
癍,baan
肦,baan
舨,baan
般,baan/bo/bun/but/pun
蝂,baan
螌,baan/pun
辦,baan
辬,baan
鈑,baan
闆,baan
阪,baan/faan
頒,baan/fan/paan
魬,baan
鳻,baan/fan
𡌶,baan
唪,baang/fung
堋,baang/bang/bing/pang
塴,baang/bang/bing
綳,baang/bang/maang
繃,baang/bang/maang/mang
蹦,baang/bang
𠾴,baang
㭭,baat
㺴,baat
䒑,baat
䤢,baat
丷,baat/baat zi tau
仈,baat
八,baat
哵,baat
坺,baat/paat/pet
墢,baat
扒,baat/paa
捌,baat
朳,baat/paa
柭,baat/bat/but/fat
玐,baat
茇,baat/bat/pui
釛,baat
釟,baat
魃,baat/bat
尣,baat jan/wong
㚿,baau
䭋,baau
佨,baau
勹,baau
包,baau
孢,baau
怉,baau/pou
枹,baau/fau/fu
炮,baau/paau
爆,baau/bok/paau
笣,baau
胞,baau/paau
苞,baau
蚫,baau
褜,baau
趵,baau/paau
鞄,baau/paau/pok
飹,baau
飽,baau
骲,baau
鮑,baau
齙,baau/paau
㙄,bai
㝿,bai/bo
㡀,bai
㡙,bai
㢢,bai
㪏,bai
㯇,bai
㰆,bai
䏶,bai
䚜,bai
䟤,bai
䨆,bai
坒,bai
埤,bai/bei/pai/pei
嬖,bai/pei
幣,bai
幤,bai
弊,bai
敝,bai
斃,bai
梐,bai
泌,bai/bat/bei
濞,bai/pei
狴,bai
獘,bai
獙,bai
祕,bai/bei
秘,bai/bei
箥,bai
篦,bai/bei
蓖,bai/bei
蔽,bai
蜌,bai
螕,bai
豍,bai/bin
跛,bai/bei/bo
鄨,bai/bit
鎞,bai/bei/pei
鐾,bai
閇,bai
閉,bai
陛,bai
韛,bai
鷩,bai/bit
𠻻,bai
𡃇,bai
𡚁,bai
北,bak/bui
鉳,bak
乓,bam/bong/pong
泵,bam
㟗,ban
㤓,ban
㨧,ban
㮥,ban
㯽,ban
㺆,ban
㻞,ban
䂫,ban/haang
䐔,ban
䚔,ban
䧬,ban
䨈,ban
䬱,ban
份,ban/fan
体,ban/tai
倴,ban
儐,ban
品,ban
坋,ban/fan
坌,ban
夯,ban/haang
奔,ban
嬪,ban/pan
彬,ban
撪,ban
擯,ban
斌,ban
栟,ban/bing/ping
桳,ban
梹,ban
椕,ban
榀,ban
檳,ban/bing
殯,ban
汃,ban/paak
泍,ban
浜,ban/bong
渀,ban
濱,ban
濵,ban
瀕,ban/pan
炃,ban/fan
犇,ban
獖,ban
獱,ban/bin
玢,ban/fan
璸,ban
礗,ban
禀,ban
稟,ban/lam
