Kanji,YuetPing
帆,faan
幡,faan
忛,faan
憣,faan
払,faan
拚,faan/fan/ping/pun
旙,faan
旛,faan
杋,faan
柉,faan
梵,faan
棥,faan
樊,faan
橎,faan
氾,faan
汎,faan
泛,faan/fung
滼,faan
瀪,faan
瀿,faan
煩,faan
燔,faan
犯,faan
犿,faan/fun
璠,faan
畈,faan
畨,faan
盕,faan
礬,faan
笵,faan
範,faan
籓,faan
籵,faan
緐,faan
繁,faan/po/pun
繙,faan
羳,faan
翻,faan
膰,faan
舤,faan
舧,faan
范,faan
薠,faan
藩,faan
蘩,faan
蟠,faan/pun
蠜,faan
袢,faan/paan
襎,faan
訉,faan
販,faan
蹯,faan
軓,faan
軬,faan
轓,faan
返,faan
釩,faan
鋄,faan
錽,faan
鎫,faan
鐇,faan
鐢,faan
颿,faan
飜,faan
飯,faan
飰,faan
鱕,faan
鷭,faan
𠆩,faan
𢓉,faan
𢖾,faan
𥐥,faan
𧶶,faan
𨠒,faan
𪄴,faan
攵,faan man bin/pok
㛲,faat
㳒,faat
䂲,faat
䰋,faat
佱,faat
彂,faat
沷,faat/fat
法,faat/fat
灋,faat
珐,faat
琺,faat/fat
発,faat
砝,faat/fat
蕟,faat
醱,faat/put
鍅,faat
髪,faat
髮,faat/fat
𠵽,faat
𧬋,faat
㔗,fai
㩣,fai
㫎,fai
㵒,fai
㹆,fai
㾱,fai
䀟,fai
䆏,fai
䉬,fai
䑔,fai
䕠,fai
䘗,fai
䚨,fai
䛍,fai
䜐,fai
䠊,fai/fei
䨾,fai
䰁,fai
俷,fai
剕,fai/fei
吠,fai
噅,fai
噕,fai
婎,fai
媈,fai
屝,fai/fei
幑,fai
廃,fai
廢,fai
徽,fai
戲,fai/fu/hei
揮,fai
撝,fai
昲,fai
暉,fai
曊,fai/fei
椲,fai/wai
楎,fai/wan
櫠,fai
沸,fai/fat
淝,fai/fei
濷,fai
瀈,fai
灳,fai
煇,fai/wai/wan
狒,fai/fat/fei
琿,fai/wan
疿,fai/fei
痱,fai/fei
癈,fai
睢,fai/seoi
砩,fai/fat
禈,fai
翬,fai
肥,fai/fei
肺,fai/pui
芾,fai/fat
萉,fai/fei
蘳,fai
蜚,fai/fei
蜰,fai/fei
褘,fai/wai
觿,fai/kwai
輝,fai
鐨,fai
隓,fai/to
隳,fai/fui
靅,fai
髴,fai/fat
鰴,fai
麾,fai
鼣,fai
𡽪,fai
𤪖,fai
𦆮,fai
𦑩,fai
𧃸,fai
㖧,fan/man
㛰,fan
㞣,fan
㡪,fan
㤋,fan
㥹,fan
㬟,fan
㯣,fan
㱪,fan
㱵,fan
㷊,fan
㸮,fan
㿎,fan
䌲,fan
䎜,fan
䗼,fan
䙧,fan
䩿,fan
䫶,fan
䭻,fan
䴅,fan
䵫,fan
僨,fan
兺,fan
分,fan
勛,fan
勲,fan
勳,fan
吩,fan
哛,fan
噴,fan/pan
嚑,fan
坟,fan
塤,fan/hyun
墳,fan
壎,fan/hyun
奮,fan
妢,fan
婚,fan
岎,fan
帉,fan
幩,fan
弅,fan
忿,fan
惛,fan/man
憤,fan
敯,fan/man
昏,fan
昐,fan
昬,fan
曛,fan
朆,fan
枌,fan
梤,fan
棔,fan
棻,fan
棼,fan
橨,fan
歕,fan/pan
殙,fan
氛,fan
汾,fan
涽,fan
湣,fan/man
濆,fan/pan
瀵,fan
焄,fan
焚,fan
焝,fan
熏,fan
燌,fan
燓,fan
燻,fan
爋,fan
牝,fan/pan
獯,fan
睏,fan/han/kwan
睧,fan
睯,fan
瞓,fan
矄,fan
砏,fan/paan
秎,fan
窨,fan/jam
粉,fan
糞,fan
紛,fan
緡,fan/man
纁,fan
羒,fan
羵,fan
翂,fan
膹,fan/fei
臐,fan
芬,fan
葷,fan
蒶,fan
蔒,fan
蕡,fan
薫,fan
薰,fan
蘍,fan
蚠,fan
蚡,fan
衯,fan/pun
訓,fan
訜,fan
豶,fan
躮,fan
轒,fan
酚,fan
醺,fan
鈖,fan
錀,fan/leon
鑂,fan
閽,fan
隫,fan
雰,fan
饙,fan/pan
馚,fan
馩,fan
魵,fan
鱝,fan
黂,fan
黺,fan
鼖,fan
鼢,fan
𠊠,fan
𡊄,fan
𡌂,fan
𡓽,fan
𡘊,fan
𡚒,fan
𡝱,fan
𣶼,fan
𤉙,fan
𤏩,fan
𤑕,fan
𤑛,fan
𤦈,fan
𨧼,fan
兝,fan hak
瓰,fan ngaa
竕,fan sing
揈,fang/fing/gwang
㕹,fat
㗵,fat
㘺,fat
㦌,fat
㧮,fat
㧾,fat
㩿,fat/kak
㪂,fat
㪄,fat
㫚,fat
㵠,fat
㺀,fat
㺻,fat
㾁,fat
䂗,fat
䇅,fat
䓤,fat
䘠,fat
䝆,fat
䞞,fat
䣹,fat
䨚,fat
䩐,fat
䬍,fat
䭮,fat
䯇,fat
䴯,fat
乀,fat
乏,fat
仏,fat
伐,fat
傠,fat
冹,fat
刜,fat
匢,fat
匫,fat
咈,fat
唿,fat
啒,fat/gwat
囫,fat/wat
圣,fat/gaai/sing
坲,fat
垡,fat
堀,fat/gwat
姂,fat
寣,fat/fu
岪,fat
崫,fat
巿,fat
帗,fat
弗,fat/fik
彿,fat
忽,fat
惚,fat
掘,fat/gwat
搰,fat/wat
昒,fat
曶,fat
柫,fat
栰,fat
梻,fat
橃,fat
氟,fat
泏,fat/zeot/zyut
浌,fat
淴,fat
炥,fat
烼,fat
甶,fat
疺,fat
瞂,fat
矻,fat/ngat
祓,fat
窋,fat/gwat/zyut
窟,fat/gwat
笏,fat
笩,fat
笰,fat
筏,fat
紱,fat
紼,fat
綍,fat
罰,fat
罸,fat
翇,fat
芴,fat/mat
藅,fat
袚,fat
鉘,fat
鍃,fat
閥,fat
韍,fat
魆,fat/wat
鮄,fat/ping
黻,fat
𠲎,fat
𡌅,fat
𤤖,fat
𤦏,fat
𦡆,fat
𧩓,fat
㐢,fau
㟊,fau
㰴,fau
㷆,fau
䍖,fau
䘀,fau
䨗,fau
䳕,fau
剖,fau/pau
剻,fau
否,fau/pei
哹,fau
妚,fau
姇,fau/fu
峊,fau
復,fau/fuk
掊,fau/pau
桴,fau/fu
浮,fau
涪,fau
烰,fau
琈,fau
痞,fau/mau/pei
紑,fau
緮,fau/fuk
缶,fau
缹,fau
缻,fau
罘,fau
罦,fau/fu
艀,fau
芣,fau
蛗,fau
蜉,fau
衃,fau/pui
裒,fau/pau
覆,fau/fu/fuk
鉜,fau
阜,fau
雬,fau
鴀,fau
𠳝,fau
𦷰,fau
𦹃,fau
𧌓,fau
𧶏,fau
𨸏,fau
㹃,fe/he
啡,fe/fei
㐟,fei
㔈,fei
㥱,fei
㩌,fei
㫵,fei
䈈,fei
䒈,fei
䕁,fei
䙍,fei
䤵,fei
䨽,fei
䩁,fei
䬠,fei
匪,fei
厞,fei
奜,fei
妃,fei/pui
婓,fei
婔,fei
悱,fei
扉,fei
斐,fei
暃,fei
朏,fei
棐,fei
榌,fei
榧,fei
渄,fei
猆,fei
篚,fei
緋,fei
翡,fei
腓,fei
菲,fei
蕜,fei
裶,fei
誹,fei
陫,fei
霏,fei
非,fei
靟,fei
飛,fei
飝,fei
餥,fei
馡,fei
騑,fei
騛,fei
鯡,fei
𦴧,fei
𦻔,fei
𩄼,fei
𩇫,fei
𠱥,fik/we
捹,fing
𢝵,fit
𢞵,fit
覅,fiu
㚌,fo
㪙,fo
㸯,fo
㸰,fo
㸱,fo
㾧,fo
䈖,fo
䌀,fo
伙,fo
匚,fo/fong
吙,fo/hoe
嗀,fo/hok
堁,fo
夥,fo
嵙,fo
敤,fo
棵,fo/po
沎,fo
火,fo
煷,fo
犐,fo
科,fo
稞,fo
窠,fo/wo
萪,fo
薖,fo/gwo
蝌,fo
課,fo
貨,fo
邩,fo
鈥,fo
錁,fo/gwo
顆,fo
騍,fo
髁,fo
嗀,fo/hok
㸌,fok
㸕,fok
㺢,fok/o
䁨,fok
䂄,fok
䣤,fok
䦆,fok/kyut
廓,fok/gwok/kwok
彉,fok/gwok/kwok
彏,fok/gwok
戄,fok
攉,fok/kok/wok
攫,fok/gwok
曤,fok
欔,fok
漷,fok/gwok/kwok
瀖,fok
爴,fok
玃,fok/gwok
癨,fok
瞿,fok/geoi/keoi
矆,fok
矍,fok/gwok
矐,fok/hok
矡,fok
臛,fok/huk
藿,fok
蠼,fok/keoi
豁,fok/kut/waa/waak
貜,fok/gwok
躩,fok/gwok/kwok
钁,fok/gwok/kyut
霍,fok
靃,fok/seoi
靍,fok
𦞦,fok
㑂,fong
㠩,fong
㠵,fong
㡃,fong
㡆,fong
㤃,fong
㤺,fong
㧍,fong
㨪,fong
㬻,fong
㭶,fong
㵁,fong
䀮,fong
䁜,fong
䄱,fong
䐠,fong
䢍,fong
䲱,fong
仿,fong/pong
倣,fong
兄,fong/hing
兤,fong
况,fong
坊,fong
埅,fong
堏,fong
塃,fong
妨,fong
宺,fong
岲,fong
巟,fong
幌,fong
彷,fong/pong
怳,fong
恍,fong
愰,fong
慌,fong
房,fong/pong
放,fong
方,fong
旊,fong
昉,fong
昘,fong
晃,fong
晄,fong
朚,fong
枋,fong
榥,fong
櫎,fong
汸,fong/pong
況,fong
淓,fong
滉,fong
炾,fong
熀,fong
熿,fong/wong
牥,fong
瓬,fong
皝,fong
皩,fong
眆,fong
眖,fong
紡,fong
縨,fong
肓,fong
肪,fong
舫,fong
芒,fong/mong
芳,fong
荒,fong
蚄,fong
衁,fong
訪,fong
詤,fong
謊,fong
貺,fong
趽,fong
軦,fong
邡,fong
鈁,fong
錺,fong
鎤,fong
防,fong
髣,fong
魴,fong
鰟,fong/pong
鴋,fong
鶭,fong
况,fong
𣆤,fong
𣆥,fong
𣇷,fong
𤒼,fong
𤤁,fong
𧵦,fong
𨻙,fong
芳,fong
㐣,fu
㓡,fu
㓫,fu
㓬,fu
㕮,fu
㖚,fu
㠸,fu
㤔,fu
㤱,fu
㦆,fu
㩤,fu
㫙,fu
㭥,fu
㭪,fu
㱠,fu
㲗,fu
㳇,fu
㵚,fu
㽬,fu
㾈,fu
䂤,fu
䃿,fu
䄮,fu
䇢,fu
䉐,fu
䊿,fu
䋨,fu
䌗,fu
䎍,fu
䎔,fu
䑧,fu
䒄,fu
䒇,fu
䓏,fu
䓵,fu
䔯,fu
䔰,fu
䗂,fu
䗄,fu
䝞,fu
䝾,fu
䞜,fu
䞯,fu
䞸,fu
䟔,fu
䠵,fu
䡍,fu
䦣,fu
䩉,fu
䫍,fu
䭸,fu
䮛,fu
䰧,fu
䱐,fu
䴣,fu
䴸,fu
䵾,fu
乎,fu/wu
乕,fu
乥,fu
乯,fu
乶,fu
付,fu
伕,fu
俌,fu
俘,fu
俛,fu/min
俯,fu
俿,fu
偩,fu
傅,fu
冨,fu
刳,fu
副,fu/pik
呋,fu
呼,fu
咐,fu
唬,fu/haak
喸,fu
嘑,fu/la/laa
嘸,fu/m/mou
坿,fu
垀,fu
垺,fu/pau/pui
夫,fu
妋,fu
娐,fu
婦,fu
媍,fu
孚,fu
孵,fu
富,fu
尃,fu
幠,fu
府,fu
庫,fu/se
廤,fu
弣,fu
怤,fu
恗,fu
惡,fu/ok/wu
懯,fu
戯,fu/hei
戱,fu/hei
戽,fu
扝,fu
扶,fu/pou
拊,fu
挎,fu/kwaa
捬,fu
撫,fu
敷,fu
斧,fu
旉,fu
暊,fu
枎,fu
枯,fu
柎,fu
桍,fu
椨,fu
楛,fu/wu
榑,fu
橭,fu/gu
歑,fu
汻,fu/gon/hong
泘,fu
泭,fu
洑,fu/fuk
滏,fu
滸,fu/heoi/wu
滹,fu
烀,fu
焤,fu
父,fu
玞,fu
玸,fu
琥,fu
璷,fu/leoi/lou
甫,fu/pou
畉,fu
痡,fu/pou
瘔,fu
盙,fu
砆,fu
祔,fu
福,fu/fuk
秙,fu
秿,fu
稃,fu
竎,fu
符,fu
筟,fu
簠,fu
粰,fu
糐,fu
紨,fu
絝,fu
綒,fu
胕,fu
胯,fu/kwaa
脯,fu/pou
腐,fu
腑,fu
膚,fu
膴,fu/mou
芙,fu
苦,fu
苸,fu
苻,fu/pou
荂,fu/heoi
荴,fu
莆,fu/pou
莩,fu/piu
萀,fu
萯,fu/pui
虍,fu
虎,fu
虖,fu
虝,fu
蚥,fu
蚨,fu
蚹,fu
蜅,fu
蝜,fu
衭,fu
袝,fu
袴,fu
褔,fu
褲,fu
訃,fu
許,fu/heoi
詂,fu
謼,fu
豧,fu
負,fu
賦,fu
賻,fu
赴,fu
趶,fu
趺,fu
跍,fu
跗,fu
軤,fu
軵,fu/jung
輔,fu
邞,fu
郀,fu
郙,fu
郛,fu
鄜,fu
酜,fu
釜,fu
釡,fu
鈇,fu
錿,fu
鍑,fu/fuk
附,fu
陚,fu
雐,fu
雽,fu/wu
頫,fu/tiu
颫,fu
駙,fu
骷,fu
鬴,fu
鮒,fu
鮬,fu
鯱,fu
鳧,fu
鳬,fu
鳺,fu
麩,fu
麬,fu
麱,fu
黼,fu
𠒎,fu
𠓗,fu
𡧛,fu
𨬬,fu
𪄇,fu
乊,fu zi tau
㑰,fui
㒑,fui
㒮,fui
㚍,fui
㞀,fui
㨒,fui
㳷,fui
㷄,fui
㷇,fui
㾯,fui
䏨,fui
䖶,fui
䛛,fui
䝅,fui
䝇,fui
䤧,fui
䩈,fui
䫥,fui
咴,fui
喙,fui
喹,fui/kwai
奎,fui/kwai
恢,fui
悔,fui
悝,fui/lei
拻,fui
晦,fui
楏,fui/kwai
櫆,fui
洃,fui
洧,fui/wai
灰,fui
烣,fui
燘,fui/mui
痏,fui/wai
痗,fui/mui
睳,fui
虺,fui/wai
蝰,fui
詯,fui
詼,fui
誨,fui
豗,fui
賄,fui/kui
靧,fui
頮,fui
顝,fui
顪,fui
餯,fui
魁,fui
鮪,fui/wai
齀,fui/ngat
𠧩,fui
𡟇,fui
𡟼,fui
𣁽,fui
㙏,fuk
㚆,fuk
㠅,fuk
㬼,fuk
䋹,fuk
䕎,fuk
䕐,fuk
䟮,fuk
䨱,fuk
䫝,fuk
垘,fuk
复,fuk
宓,fuk/mat
幅,fuk
斛,fuk/huk
服,fuk
栿,fuk
棴,fuk/suk
椱,fuk
澓,fuk
畐,fuk
癁,fuk
稪,fuk
箙,fuk
腹,fuk
茯,fuk
葍,fuk
蕧,fuk
虙,fuk
蝠,fuk
蝮,fuk
袱,fuk
複,fuk
覄,fuk
諨,fuk
輹,fuk
輻,fuk
鍢,fuk
馥,fuk
鮲,fuk
鰒,fuk
鴔,fuk
鵩,fuk
𠬝,fuk
𧄦,fuk
𩜲,fuk
㯘,fun
䕀,fun
䝔,fun
䥗,fun
䲌,fun
嚾,fun
寛,fun
寬,fun
懽,fun
梡,fun
欵,fun
款,fun
歀,fun
歓,fun
歡,fun
獾,fun
盥,fun/gun
窽,fun
窾,fun
臗,fun
讙,fun/hyun
貆,fun/hyun/wun
貛,fun
酄,fun/hyun
雚,fun/gun/wun
驩,fun
髖,fun
鴅,fun
鵍,fun
𣟂,fun
㒥,fung
㕫,fung
㛔,fung
㜂,fung
㠦,fung
㡝,fung
㦀,fung
㵯,fung
㶻,fung
㷨,fung
㷭,fung
㸼,fung
㻱,fung
䀱,fung
䆇,fung
䏎,fung
䒠,fung
䗦,fung
䗬,fung
䙜,fung
䟪,fung
䧏,fung
䩼,fung
䵄,fung
丰,fung
仹,fung
俸,fung
偑,fung
僼,fung
凨,fung
凬,fung
凮,fung
堸,fung
夆,fung
奉,fung
妦,fung
寷,fung
封,fung
峯,fung
峰,fung
崶,fung
捀,fung
摓,fung
桻,fung
楓,fung
檒,fung
浲,fung
淎,fung
渢,fung
湗,fung
溄,fung
漨,fung
灃,fung
烽,fung
焨,fung
煈,fung
犎,fung
猦,fung
琒,fung
甮,fung
瘋,fung
盽,fung
碸,fung
篈,fung
綘,fung
縫,fung
舽,fung/pong
艂,fung
葑,fung
蓬,fung/pung
蘴,fung
蜂,fung
蠭,fung
覂,fung
諷,fung
豐,fung
賵,fung
逢,fung/pung
鄷,fung
酆,fung
鋒,fung
鎽,fung
鏠,fung
闏,fung
霻,fung
靊,fung
風,fung
飌,fung
馮,fung/pang
鳯,fung
鳳,fung
鴌,fung
麷,fung
𠏵,fung
𠘰,fung
𡵞,fung
𢔓,fung
𢞁,fung
𣗏,fung
𣺿,fung
𤪧,fung
𧧽,fung
𩅛,fung
𩆨,fung
𩥪,fung
䦚,fut
䦢,fut
濶,fut
蛞,fut/kut
闊,fut
㗎,ga/gaa
嘎,ga/gaa/gaat/gat
噶,ga/gaa/gaat/got
㔔,gaa
㔖,gaa
㖙,gaa
㗇,gaa/haa
㚙,gaa
㠰,gaa
㹢,gaa
䂟,gaa
䈔,gaa
䑝,gaa
䕒,gaa
䪪,gaa
䴥,gaa
乫,gaa
介,gaa/gaai
价,gaa/gaai
伽,gaa/ke
假,gaa
傢,gaa
價,gaa
加,gaa
叚,gaa
咖,gaa/kaa
嘉,gaa
嘏,gaa/gu
嘠,gaa/gaat
夏,gaa/haa
婽,gaa
嫁,gaa
家,gaa/gu/ze
尕,gaa
幏,gaa
徦,gaa/haa
擖,gaa/gaat/jip/kaa/kaat
斚,gaa
斝,gaa
架,gaa
枷,gaa
椵,gaa
榎,gaa
榢,gaa
檟,gaa
毠,gaa
泇,gaa
犌,gaa
猳,gaa
玍,gaa/gaat
珈,gaa
痂,gaa/ge
瘕,gaa/haa
癿,gaa/ke
稼,gaa
笳,gaa
糘,gaa
耞,gaa
腵,gaa
茄,gaa/ke
葭,gaa
袈,gaa
豭,gaa
貑,gaa
賈,gaa/gu
跏,gaa
迦,gaa/haai
酠,gaa
釓,gaa/gaat/kau
鉫,gaa
鎵,gaa
駕,gaa
鴐,gaa
鴚,gaa/go
麚,gaa
𠏼,gaa
𠺢,gaa
𠿪,gaa
𡃉,gaa
𡣗,gaa
𡩅,gaa
𢱌,gaa
𣕧,gaa
𣺊,gaa
𤀺,gaa
𤐵,gaa
𥑆,gaa
𧊀,gaa
𩶛,gaa
嗧,gaa leon
㑘,gaai
㖋,gaai
㖎,gaai
㝏,gaai
㠹,gaai
㾏,gaai
㾬,gaai
㿍,gaai
䃈,gaai
䇒,gaai
䕸,gaai
䛺,gaai
䯰,gaai
䰺,gaai
䱄,gaai
䲸,gaai
佳,gaai
偕,gaai/haai
吤,gaai/go/haai
喈,gaai
堦,gaai
堺,gaai
妎,gaai/hai/hoi
媘,gaai
尬,gaai
屆,gaai
岕,gaai
庎,gaai
廨,gaai/haai
悈,gaai/hak
懈,gaai/haai
戒,gaai
楐,gaai
楷,gaai/kaai
檞,gaai/haai
湝,gaai
煯,gaai
犗,gaai
玠,gaai
琾,gaai
界,gaai
畍,gaai
疥,gaai
痎,gaai
皆,gaai
砎,gaai
秸,gaai
稭,gaai
艐,gaai/ho/zung
芥,gaai
葪,gaai/gai
薢,gaai/haai
蚧,gaai
蝔,gaai
街,gaai
衸,gaai
裓,gaai/gat
解,gaai/haai
觧,gaai
誡,gaai
鍇,gaai/kaai
鎅,gaai
階,gaai
鞂,gaai
骱,gaai/haai
魀,gaai
魪,gaai
鶛,gaai
𠝹,gaai
𣾂,gaai
𥟠,gaai
𨺬,gaai
㗆,gaak
㦴,gaak
䈷,gaak
䎥,gaak
䐙,gaak
䛿,gaak
䨣,gaak
䪂,gaak
佫,gaak/hok
嗝,gaak
塥,gaak
夾,gaak/gaap/gap/gep/gip/hip
愅,gaak
挌,gaak
格,gaak
槅,gaak
滆,gaak
肐,gaak/gat/gok
胳,gaak/gok/lok
膈,gaak
臵,gaak
茖,gaak
蛒,gaak
袼,gaak/gok
觡,gaak
諽,gaak
鎘,gaak/lik
隔,gaak/gik
革,gaak/gaap/gik
鞷,gaak/lik
韚,gaak
骼,gaak
鮥,gaak/gok/lok
鵅,gaak/lok
𠺝,gaak
㔋,gaam
㮭,gaam
䌠,gaam
䛓,gaam
䶠,gaam
䶢,gaam
减,gaam
凲,gaam
尲,gaam
尶,gaam
尷,gaam
椷,gaam
橄,gaam/gam
淦,gaam/gam
減,gaam
煘,gaam/tim
玪,gaam
監,gaam
砛,gaam
礛,gaam/laam
緘,gaam/zin
譼,gaam
鍳,gaam
鑑,gaam
鑒,gaam
鑬,gaam
魐,gaam
𨯿,gaam
𨰹,gaam
㵎,gaan
㶕,gaan
䉍,gaan
䓸,gaan
䔵,gaan
䥜,gaan
囏,gaan
堿,gaan/haam/ham
墹,gaan
奸,gaan
姦,gaan
姧,gaan
徚,gaan
挸,gaan
揀,gaan
暕,gaan/laan
柬,gaan
梘,gaan
橺,gaan
涀,gaan/gin/jin
澗,gaan
癇,gaan/haan
癎,gaan/haan
瞯,gaan/haan
瞷,gaan
硏,gaan/gin/jin/ngaan
碱,gaan
磵,gaan
礀,gaan
礆,gaan
筧,gaan
簡,gaan
絸,gaan
繝,gaan
繭,gaan/gin
膙,gaan/koeng/zoeng
艱,gaan
茧,gaan/gin
菅,gaan
葌,gaan
蕑,gaan
蕳,gaan
蠒,gaan
襇,gaan
襉,gaan
襺,gaan
覵,gaan/haan
覸,gaan
諫,gaan
趼,gaan/gin
鐗,gaan
鐧,gaan
閒,gaan/haan
間,gaan/haan
鶫,gaan
鹸,gaan
鹻,gaan
鹼,gaan
𡤃,gaan
𡼏,gaan
𢵧,gaan
𤩎,gaan
𧒄,gaan
𧬘,gaan
𨰝,gaan
钅,gaan faa gam zi bin
讠,gaan faa jin zi bin
纟,gaan faa kiu si bin
饣,gaan faa sik zi bin
䎴,gaang
挭,gaang
更,gaang/gang/ngang
浭,gaang/gang
畊,gaang
筻,gaang
粳,gaang/gang
耕,gaang/gang
逕,gaang/ging
𨁈,gaang
㕅,gaap
㰰,gaap
㿓,gaap
䀫,gaap
䕛,gaap
䖬,gaap
䩡,gaap
唊,gaap/him
嗑,gaap/haap/hap/ngap
埉,gaap
岬,gaap
挾,gaap/haap/hip
搿,gaap/gap
柙,gaap/haap
梜,gaap/zit
浹,gaap/zip
玾,gaap
甲,gaap
胛,gaap
脥,gaap/him/hip
舺,gaap
莢,gaap
蛤,gaap/gap/haa
蛺,gaap
袷,gaap/gip/hap
裌,gaap
跲,gaap
郟,gaap
鉀,gaap
鉿,gaap/haa/hap
鋏,gaap
鞈,gaap
韐,gaap
頬,gaap
頰,gaap/haap
鴿,gaap/gap
鵊,gaap
𤥵,gaap
𦕲,gaap
匄,gaat/got/koi
呷,gaat/haap
尜,gaat
戞,gaat
拮,gaat/gat/git
揳,gaat/git/kit/sip/sit
曱,gaat/gat
㚣,gaau
㩭,gaau
㬵,gaau
㶀,gaau
㽱,gaau
㽲,gaau
䀊,gaau
䍊,gaau
䕧,gaau
䢒,gaau
交,gaau
佼,gaau
嘐,gaau/haau
姣,gaau/haau
峧,gaau
悎,gaau/hou
挍,gaau/haau
捁,gaau
搞,gaau
撹,gaau
攪,gaau
敎,gaau
教,gaau
敥,gaau/jim
斠,gaau/gok
晈,gaau
校,gaau/haau
滘,gaau
漖,gaau
灚,gaau
烄,gaau
狡,gaau
珓,gaau
皎,gaau
皦,gaau/giu
窌,gaau/paau
窖,gaau
笅,gaau/haau/ngaau
筊,gaau/ngaau
絞,gaau/haau
膠,gaau
艽,gaau/gau/kau
茭,gaau
虠,gaau
蛟,gaau
覺,gaau/gok
詨,gaau/haau
賋,gaau
跤,gaau
較,gaau/gok
轇,gaau
郊,gaau
酵,gaau/haau
鉸,gaau
餃,gaau
鮫,gaau
鵁,gaau
罓,gaau caa sei
㚻,gai
㛷,gai
㡭,gai
㮷,gai
㲅,gai
㾵,gai
䦇,gai
丯,gai
偈,gai/git
嗘,gai
峜,gai
彐,gai
彑,gai/kyut tau wu
揭,gai/hei/kai/kit
枅,gai
檵,gai
瀱,gai
炔,gai/gwai/kyut
猘,gai/zai
瘈,gai/kai/zai
瞉,gai/kau
笄,gai
筀,gai
筓,gai
紒,gai
結,gai/git/lit
継,gai
繫,gai/hai
繼,gai
罽,gai
薊,gai
蘮,gai
蘻,gai
計,gai/gei
銈,gai
雞,gai
髻,gai
鳮,gai
鶏,gai
鷄,gai
呄,gak
㓧,gam
㤌,gam
㦗,gam
㩒,gam
㯲,gam
㱈,gam
㲐,gam
㽏,gam
䃭,gam
䇞,gam
䊻,gam
䋮,gam
䌝,gam
䑤,gam
䘳,gam/kam
䤗,gam
䧩,gam
䫴,gam
䲺,gam
䶖,gam
今,gam
僸,gam
凎,gam
凚,gam
咁,gam
唫,gam/jam
噤,gam/kam
媣,gam
惍,gam
感,gam
扲,gam/ngam
搇,gam/kam
撳,gam
敢,gam
柑,gam/kim
汵,gam
泔,gam
澉,gam
灨,gam
甘,gam
疳,gam
禁,gam/kam
笒,gam/ham/sam
粓,gam
紟,gam/kam
紺,gam
苷,gam
菳,gam/kam/kan
衿,gam/kam
襟,gam/kam
詌,gam
贑,gam
贛,gam/gung
趛,gam
金,gam
鈙,gam/kam
錦,gam
鍂,gam
鏱,gam
鰔,gam/zam
鱤,gam
黅,gam
齽,gam
𡄎,gam
𡑒,gam
𡢾,gam
𤯌,gam/haam
𦡞,gam
釒,gam zi bin
㝻,gan
㧆,gan
㨷,gan
㫔,gan
㹏,gan
䈥,gan
䈽,gan
䌍,gan
䒺,gan
䘜,gan
䤺,gan
䫀,gan
仅,gan
伒,gan
僅,gan
厪,gan
呁,gan
哏,gan/han
堇,gan/kan
墐,gan
婜,gan/haan
嫤,gan
峎,gan/jan
巹,gan
巾,gan
廑,gan/kan
斤,gan
根,gan
槿,gan
歏,gan
殣,gan
漌,gan
瑾,gan
瘽,gan/kan
筋,gan
緊,gan
艮,gan/ngan
茛,gan
荕,gan
菫,gan
蓳,gan/kan
螼,gan
覲,gan
觔,gan
謹,gan
跟,gan
近,gan/kan
釿,gan
靳,gan
饉,gan
龩,gan
𡁵,gan
𦶠,gan
𧫴,gan
𩂋,gan
㗮,gang
㪅,gang
㮓,gang
㹴,gang
㹹,gang
㾘,gang
䋁,gang
䌄,gang
䢚,gang
䱍,gang
䱎,gang
䱭,gang
䱴,gang
亘,gang
亙,gang
刯,gang
埂,gang
堩,gang
峺,gang
庚,gang
恆,gang/hang
恒,gang/hang
揯,gang
暅,gang/hyun/syun
梗,gang/gwaang
椩,gang
焿,gang
秔,gang
稉,gang
絙,gang
絚,gang
綆,gang
緪,gang
縆,gang
羮,gang
羹,gang/long
耿,gang/gwing
莄,gang
菮,gang
賡,gang/zuk
郠,gang
骾,gang/kang
鯁,gang/kang
鶊,gang
𡍷,gang
𡙡,gang
𢉼,gang
𣆳,gang
㠷,gap
㤂,gap
㧀,gap
㭘,gap
㽺,gap
䀹,gap/sim/zip
䗘,gap
䧻,gap
䪺,gap
䫦,gap
伋,gap/kap
匌,gap/hap
及,gap/kap
叝,gap
合,gap/hap/ho
岌,gap/kap/ngap
峆,gap/hap
彶,gap
忣,gap
急,gap
戓,gap
敆,gap
芨,gap/kap
葢,gap/goi/hap/koi
蓋,gap/goi/hap/koi
觙,gap
郃,gap/hap
閤,gap/gok/hap
頜,gap/hap
鮯,gap
鷑,gap/kap
𠶲,gap/kap
𥄫,gap
㓤,gat
㔕,gat
㡮,gat
㰟,gat
䓀,gat
䞘,gat
䰴,gat
仡,gat/go/hat/ngat
佶,gat/git
吃,gat/hat/hek/jaak
吉,gat
咭,gat/hat/kaat/kat
圪,gat/ngat
姞,gat/git
屹,gat/ngat
桔,gat/git/kit
橘,gat/gwat
狤,gat/git/gwaai
疙,gat/ngat
紇,gat/hat
虼,gat/gok
訖,gat/ngat
詰,gat/kit
趌,gat
趷,gat
跀,gat/jyut
郅,gat/zat
郆,gat
銡,gat
鴶,gat/git
㐇,gau
㗕,gau
㝅,gau
㝌,gau
㝤,gau
㞗,gau/kau
㡱,gau
㨌,gau
㲃,gau
㶢,gau
㺃,gau
